,id,step_id,vendor,playbook_name,playbook_description,step_names,step_types,step_description,actuator
39,p40,s218,FortiSOAR,Alert - Close Corresponding SIEM Alert,Closes the alert on the corresponding SIEM when an alert is closed in FortiSOAR.,closes SIEM Alert,User decision, closes SIEM Alert,
39,p40,s219,FortiSOAR,Alert - Close Corresponding SIEM Alert,Closes the alert on the corresponding SIEM when an alert is closed in FortiSOAR.,adds Clossure note,Manual task, adds Clossure note,
39,p40,s220,FortiSOAR,Alert - Close Corresponding SIEM Alert,Closes the alert on the corresponding SIEM when an alert is closed in FortiSOAR.,adds No Change Note,Manual task, adds No Change Note,
40,p41,s222,FortiSOAR,Alert - Disable Specific User,Disables the specified User Account from the Active Directory.,blocks a User within a Windows Active Directory,Connector,activedirectory blocks a User within a Windows Active Directory,activedirectory
40,p41,s223,FortiSOAR,Alert - Disable Specific User,Disables the specified User Account from the Active Directory.,adds Status Notes,Manual task, adds Status Notes,
41,p42,s226,FortiSOAR,Alert - Escalate to Incident (Link Relations),This playbook will extract related records and assign to incident created,returns Related Records,Configuration, returns Related Records,
42,p43,s227,FortiSOAR,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,gets Related Records,Playbook execution, gets Related Records,
42,p43,s229,FortiSOAR,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,inserts Comment,Manual task, inserts Comment,
42,p43,s230,FortiSOAR,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,sets Escalate Status on Alert,API call, sets Escalate Status on Alert,
42,p43,s231,FortiSOAR,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,sets Playbook Result,Configuration, sets Playbook Result,
42,p43,s232,FortiSOAR,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,gets Unique Related Records,Configuration, gets Unique Related Records,
42,p43,s233,FortiSOAR,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,consolidates Related Records,Configuration, consolidates Related Records,
42,p43,s234,FortiSOAR,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,inserts One Incident_Many_to_One,Manual task, inserts One Incident_Many_to_One,
43,p44,s235,FortiSOAR,Alert - Escalate To Incident,Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,sets Incident Lead Teams,Configuration, sets Incident Lead Teams,
43,p44,s236,FortiSOAR,Alert - Escalate To Incident,Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,gets Incident Lead Teams,Connector,cyops_utilities gets Incident Lead Teams,cyops_utilities
43,p44,s237,FortiSOAR,Alert - Escalate To Incident,Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,references escalate playbook,Playbook execution, references escalate playbook,
44,p45,s241,FortiSOAR,Alert - Periodic Update Alert SLA Status,This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.,checks For Ack Violation,Condition, checks For Ack Violation,
44,p45,s243,FortiSOAR,Alert - Periodic Update Alert SLA Status,This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.,sets Ack SLA Missed,API call, sets Ack SLA Missed,
44,p45,s244,FortiSOAR,Alert - Periodic Update Alert SLA Status,This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.,checks Response Violation,Condition, checks Response Violation,
44,p45,s245,FortiSOAR,Alert - Periodic Update Alert SLA Status,This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.,sets Response SLA Missed,API call, sets Response SLA Missed,
44,p45,s246,FortiSOAR,Alert - Periodic Update Alert SLA Status,This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.,nos Action Needed,Connector,cyops_utilities nos Action Needed,cyops_utilities
45,p46,s248,FortiSOAR,Alert - Set Assigned Date (upon creation),Update Assigned Date when Person is assigned to Alert,sets Assigned Date,API call, sets Assigned Date,
47,p48,s252,FortiSOAR,Alert - Set Resolved Date,"Update Resolved Date when State is marked ""Closed""",updates Resolved Date,API call, updates Resolved Date,
47,p48,s253,FortiSOAR,Alert - Set Resolved Date,"Update Resolved Date when State is marked ""Closed""",nos Operations,Script, nos Operations,
47,p48,s254,FortiSOAR,Alert - Set Resolved Date,"Update Resolved Date when State is marked ""Closed""",checks Status is Closed,Condition, checks Status is Closed,
48,p49,s255,FortiSOAR,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,verifys SLA Details,Condition, verifys SLA Details,
48,p49,s257,FortiSOAR,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,gets SLA,Playbook execution, gets SLA,
48,p49,s258,FortiSOAR,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,updates SLA,API call, updates SLA,
48,p49,s259,FortiSOAR,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,calculates Ack SLA,Connector,slacalculator calculates Ack SLA,slacalculator
48,p49,s260,FortiSOAR,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,calculates Resp SLA,Connector,slacalculator calculates Resp SLA,slacalculator
48,p49,s261,FortiSOAR,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,nos SLA Details Fetched,Connector,cyops_utilities nos SLA Details Fetched,cyops_utilities
49,p50,s263,FortiSOAR,Alert - [01] Capture All SLA (Upon Create),Updates the alert's acknowledgement due date and response due date based on the alert’s severity.,updates SLA,Playbook execution, updates SLA,
50,p51,s265,FortiSOAR,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,statuss Check for Ack SLA,Condition, statuss Check for Ack SLA,
50,p51,s266,FortiSOAR,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,checks Acknowledge SLA Status,Condition, checks Acknowledge SLA Status,
50,p51,s267,FortiSOAR,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,sets Acknowledge SLA as Missed,API call, sets Acknowledge SLA as Missed,
50,p51,s268,FortiSOAR,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,sets Acknowledge SLA as Met,API call, sets Acknowledge SLA as Met,
50,p51,s269,FortiSOAR,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,gets SLA Details,Playbook execution, gets SLA Details,
50,p51,s270,FortiSOAR,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,checks Current Status To Pause SLA,Condition, checks Current Status To Pause SLA,
50,p51,s271,FortiSOAR,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,pauses Ack SLA,API call, pauses Ack SLA,
50,p51,s272,FortiSOAR,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,recalculates Ack SLA,Connector,slacalculator recalculates Ack SLA,slacalculator
50,p51,s273,FortiSOAR,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,resumes Ack SLA,API call, resumes Ack SLA,
51,p52,s276,FortiSOAR,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,pauses Response SLA,API call, pauses Response SLA,
51,p52,s278,FortiSOAR,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,statuss Check for Response SLA,Condition, statuss Check for Response SLA,
51,p52,s279,FortiSOAR,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,checks Response SLA Status,Condition, checks Response SLA Status,
51,p52,s280,FortiSOAR,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,sets Response SLA as Met,API call, sets Response SLA as Met,
51,p52,s281,FortiSOAR,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,sets Response SLA as Missed,API call, sets Response SLA as Missed,
51,p52,s282,FortiSOAR,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,recalculates Response SLA,Connector,slacalculator recalculates Response SLA,slacalculator
51,p52,s283,FortiSOAR,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,resumes Response SLA,API call, resumes Response SLA,
52,p53,s284,FortiSOAR,Alert - [04] Check for SLA violations,Checks periodically for violations of acknowledgement SLA of the open alerts.,fetchs Open Alert,Query/filter task, fetchs Open Alert,
52,p53,s285,FortiSOAR,Alert - [04] Check for SLA violations,Checks periodically for violations of acknowledgement SLA of the open alerts.,updates SLA Status,Playbook execution, updates SLA Status,
53,p54,s288,FortiSOAR,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,gets Current SLA,Playbook execution, gets Current SLA,
53,p54,s290,FortiSOAR,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,updates Reset Ack SLA,API call, updates Reset Ack SLA,
53,p54,s291,FortiSOAR,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,resets Ack SLA,Connector,slacalculator resets Ack SLA,slacalculator
53,p54,s292,FortiSOAR,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,resets Resp SLA,Connector,slacalculator resets Resp SLA,slacalculator
53,p54,s293,FortiSOAR,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,sets Ack SLA,Connector,slacalculator sets Ack SLA,slacalculator
53,p54,s294,FortiSOAR,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,sets Resp SLA,Connector,slacalculator sets Resp SLA,slacalculator
53,p54,s295,FortiSOAR,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,checks SLA Reset Flag,Condition, checks SLA Reset Flag,
53,p54,s296,FortiSOAR,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,updates Set Ack SLA,API call, updates Set Ack SLA,
53,p54,s297,FortiSOAR,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,updates Set Resp SLA,API call, updates Set Resp SLA,
53,p54,s298,FortiSOAR,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,updates Reset Resp SLA,API call, updates Reset Resp SLA,
54,p55,s300,FortiSOAR,AlienValut OTX - File MD5 Reputation,Retrieves the reputation of indicators of type 'FileHash-MD5' using AlienValut OTX.,configurationss,Configuration, configurationss,
54,p55,s302,FortiSOAR,AlienValut OTX - File MD5 Reputation,Retrieves the reputation of indicators of type 'FileHash-MD5' using AlienValut OTX.,gets Reputation from AlienVault OTX,Connector,alienvault-otx gets Reputation from AlienVault OTX,alienvault-otx
54,p55,s303,FortiSOAR,AlienValut OTX - File MD5 Reputation,Retrieves the reputation of indicators of type 'FileHash-MD5' using AlienValut OTX.,computes AV OTX Summary,Connector,cyops_utilities computes AV OTX Summary,cyops_utilities
54,p55,s304,FortiSOAR,AlienValut OTX - File MD5 Reputation,Retrieves the reputation of indicators of type 'FileHash-MD5' using AlienValut OTX.,enrichment_summarys,Configuration, enrichment_summarys,
58,p59,s322,FortiSOAR,Anomali Threatstream - Domain Reputation,Retrieves the reputation of indicators of type 'Domain' using Anomali Threatstream.,gets URL Reputation from Anomali,Connector,threatstream gets URL Reputation from Anomali,threatstream
58,p59,s324,FortiSOAR,Anomali Threatstream - Domain Reputation,Retrieves the reputation of indicators of type 'Domain' using Anomali Threatstream.,computes Anomali Summary,Connector,cyops_utilities computes Anomali Summary,cyops_utilities
59,p60,s328,FortiSOAR,Anomali Threatstream - Email Reputation,Retrieves the reputation of indicators of type 'Email' using Anomali Threatstream.,gets Reputation from Anomali,Connector,threatstream gets Reputation from Anomali,threatstream
60,p61,s331,FortiSOAR,Anomali Threatstream - File MD5 Reputation,Retrieves the reputation of indicators of type 'FileHash-MD5' using Anomali Threatstream.,gets File Reputation from Anomali,Connector,threatstream gets File Reputation from Anomali,threatstream
63,p64,s347,FortiSOAR,Approval - On Create,"This playbook is triggered whenever an approval is requested from a playbook. This playbook is triggered whenever an approval record is created, and an email is sent out to the intended approver(s).",assigneds to User,Condition, assigneds to User,
63,p64,s348,FortiSOAR,Approval - On Create,"This playbook is triggered whenever an approval is requested from a playbook. This playbook is triggered whenever an approval record is created, and an email is sent out to the intended approver(s).",fetchs relations of the record,Script, fetchs relations of the record,
63,p64,s349,FortiSOAR,Approval - On Create,"This playbook is triggered whenever an approval is requested from a playbook. This playbook is triggered whenever an approval record is created, and an email is sent out to the intended approver(s).",sends Email,Messaging,smtp sends Email,smtp
