index,id,vendor,playbook_name,playbook_description,tags,steps,actuator,step_types,step_names
58,p59,FortiSOAR,Anomali Threatstream - Domain Reputation,Retrieves the reputation of indicators of type 'Domain' using Anomali Threatstream.,['Subroutine'],5,"['', '', 'threatstream', '', 'cyops_utilities']","['Start', 'Configuration', 'Connector', 'Configuration', 'Connector']","['Start', 'Configurations', 'Get URL Reputation from Anomali', 'enrichment_summary', 'Compute Anomali Summary']"
59,p60,FortiSOAR,Anomali Threatstream - Email Reputation,Retrieves the reputation of indicators of type 'Email' using Anomali Threatstream.,['Subroutine'],5,"['cyops_utilities', '', '', 'threatstream', '']","['Connector', 'Configuration', 'Start', 'Connector', 'Configuration']","['Compute Anomali Summary', 'enrichment_summary', 'Start', 'Get Reputation from Anomali', 'Configurations']"
60,p61,FortiSOAR,Anomali Threatstream - File MD5 Reputation,Retrieves the reputation of indicators of type 'FileHash-MD5' using Anomali Threatstream.,['Subroutine'],5,"['', 'threatstream', 'cyops_utilities', '', '']","['Configuration', 'Connector', 'Connector', 'Configuration', 'Start']","['enrichment_summary', 'Get File Reputation from Anomali', 'Compute Anomali Summary', 'Configurations', 'Start']"
61,p62,FortiSOAR,Anomali Threatstream - IP Reputation,Retrieves the reputation of indicators of type 'IP Address' using Anomali Threatstream.,['Subroutine'],5,"['threatstream', '', '', 'cyops_utilities', '']","['Connector', 'Start', 'Configuration', 'Connector', 'Configuration']","['Get Reputation from Anomali', 'Start', 'Configurations', 'Compute Anomali Summary', 'enrichment_summary']"
62,p63,FortiSOAR,Anomali Threatstream - URL Reputation,Retrieves the reputation of indicators of type 'URL' using Anomali Threatstream.,['Subroutine'],5,"['', '', '', 'cyops_utilities', 'threatstream']","['Configuration', 'Configuration', 'Start', 'Connector', 'Connector']","['enrichment_summary', 'Configurations', 'Start', 'Compute Anomali Summary', 'Get URL Reputation from Anomali']"
63,p64,FortiSOAR,Approval - On Create,"This playbook is triggered whenever an approval is requested from a playbook. This playbook is triggered whenever an approval record is created, and an email is sent out to the intended approver(s).",['system'],8,"['', '', '', '', 'smtp', '', '', '']","['Configuration', 'Start', 'Condition', 'Script', 'Messaging', 'Configuration', 'Script', 'Configuration']","['Configuration', 'Start', 'Assigned to User', 'Fetch relations of the record', 'Send Email', 'Set Recepient', 'Get emails of the team members', 'Set All Receipients']"
64,p65,FortiSOAR,Approval - On Email Receipt (Exchange),"This playbook is triggered whenever an email is received via Exchange the playbook  and it checks determines whether the received email is an approval mail, and, if yes, along with checks its approval status.",[],4,"['exchange', '', 'exchange', '']","['Connector', 'Start', 'Connector', 'Playbook execution']","['Mark Approval Email as Read', 'Start', 'Get Unread Emails', 'Process Each Email']"
65,p66,FortiSOAR,Approval - On Email Receipt (IMAP),This playbook is triggered whenever an email is received via IMAP and it checks whether the received email is an approval mail along with its approval status.,[],3,"['', 'imap', '']","['Playbook execution', 'Connector', 'Start']","['Process Each Email', 'Get Unread Emails', 'Start']"
66,p67,FortiSOAR,Approval - On Email Receipt - Process Email,Checks if the email is an approval email and returns its approval status.,[],17,"['', '', 'cyops_utilities', '', '', '', 'cyops_utilities', 'cyops_utilities', '', '', '', '', 'cyops_utilities', 'cyops_utilities', '', 'cyops_utilities', '']","['Configuration', 'Start', 'Connector', 'Configuration', 'Condition', 'Configuration', 'Connector', 'Connector', 'Configuration', 'Configuration', 'Condition', 'Configuration', 'Connector', 'Connector', 'Condition', 'Connector', 'Configuration']","['Check if approver team matches', 'Start', 'Update Approval Record', 'Is Approval', 'Approver Validated', 'Check If Approved', 'No Action Required', 'Sender Not Authorized To Approve', 'Extract Info From Email', 'Set Approval Status', 'Check if approval email', 'Check if approver email id matches', 'Find Approval Record', 'Resume Playbook', 'Was approval requested from user or team', 'Lookup User By EmailId', 'Set Approval']"
67,p68,FortiSOAR,Asset - Deploy Patch,Deploys the specified Patch on the selected asset using 'Microsoft SCCM'.,['ManualAction'],3,"['microsoft-sccm', '', '']","['Connector', 'Start', 'Playbook execution']","['Deploy Patch', 'Start', 'Seek Admins Permission']"
68,p69,FortiSOAR,Asset - Get Running Process,Retrieves a list of all processes that are running on the specified host.,"['EDR', 'ManualAction']",3,"['', '', 'carbonblack-response']","['Start', 'Manual task', 'Connector']","['Start', 'Note for Running Process List', 'Get Running Process']"
69,p70,FortiSOAR,Assign Random User to Unassigned Alerts,Auto assigns alerts if their assignments were missed during alert creation.,"['system', 'PostCreate']",4,"['', '', '', 'cyops_utilities']","['Configuration', 'API call', 'Start', 'Connector']","['Configuration', 'Assign User', 'Start', 'Get available assignees']"
