id,vendor,playbook_name,playbook_description,tags,steps,actuator,step_types,step_names,step_id,step_description
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,User decision,Clean Assest,s23, Clean Assest
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,Manual task,Note for Manual Task,s24, Note for Manual Task
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,Manual task,Note about AV sacn,s25, Note about AV sacn
p2,Fortinet,Action - Asset Mitigation,"Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.","['ManualAction', 'Mitigation']",17,,User decision,AV Scan,s26, AV Scan
p3,Fortinet,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.","['ManualAction', 'Mitigation']",6,,API call,Mark as TBD,s29, Mark as TBD
p3,Fortinet,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.","['ManualAction', 'Mitigation']",6,,Manual task,Add note to Indicator,s30, Add note to Indicator
p3,Fortinet,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.","['ManualAction', 'Mitigation']",6,,API call,Mark as Blocked,s31, Mark as Blocked
p3,Fortinet,Action - Domain - Block (Indicator),"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.","['ManualAction', 'Mitigation']",6,,User decision,Manual Task to Action,s32, Manual Task to Action
p4,Fortinet,Action - Domain - Block (Specified by User),"Creates an indicator for the domain name specified by the user, blocks the domain on the firewall, and also marks the status of the indicator 'Blocked’. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Manual task,Create Domain Indicator _ Deduplicated,s36, Create Domain Indicator _ Deduplicated
p4,Fortinet,Action - Domain - Block (Specified by User),"Creates an indicator for the domain name specified by the user, blocks the domain on the firewall, and also marks the status of the indicator 'Blocked’. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,cyops_utilities,Connector,Link Indicator On Triggered Record,s37,cyops_utilities Link Indicator On Triggered Record
p5,Fortinet,Action - Domain - Unblock (Indicator),"Unblocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Unblocked"" based on its block status.","['ManualAction', 'Mitigation']",6,,API call,Mark as Unblocked,s40, Mark as Unblocked
p6,Fortinet,Action - Domain - Unblock (Specified by User),"Creates indicator for the domain name specified by the user, unblocks the domain on the firewall, and also marks the status of the indicator as ‘Unblocked’. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Playbook execution,Unblock Domain,s47, Unblock Domain
p14,Fortinet,Action - File - Unblock (Specified by User),"Creates indicators for the file specified by the user, unblocks the file on the firewall, and also mark the status of the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Playbook execution,Unblock File,s86, Unblock File
p16,Fortinet,Action - File MD5 - Block (Specified by User),"Creates indicators for the filehash specified by the user, blocks the indicator on the firewall, and also marks the status of the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Manual task,Create File MD5 Indicator _ Deduplicated,s94, Create File MD5 Indicator _ Deduplicated
p16,Fortinet,Action - File MD5 - Block (Specified by User),"Creates indicators for the filehash specified by the user, blocks the indicator on the firewall, and also marks the status of the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Playbook execution,Block File MD5,s96, Block File MD5
p17,Fortinet,Action - File MD5 - Unblock (Specified by User),"Creates indicators for the filehash specified by the user, unblocks the indicator on the firewall, and also marks the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Manual task,Create File MD5 Indicator  _ Deduplicated,s100, Create File MD5 Indicator  _ Deduplicated
p17,Fortinet,Action - File MD5 - Unblock (Specified by User),"Creates indicators for the filehash specified by the user, unblocks the indicator on the firewall, and also marks the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Playbook execution,Unblock File MD5,s101, Unblock File MD5
p20,Fortinet,Action - Host - Block (Specified by User),"Creates indicators for the host specified by the user, blocks the host on the firewall, and also marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Playbook execution,Block Host,s114, Block Host
p20,Fortinet,Action - Host - Block (Specified by User),"Creates indicators for the host specified by the user, blocks the host on the firewall, and also marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Manual task,Create Host Indicator _ Deduplicated,s115, Create Host Indicator _ Deduplicated
p21,Fortinet,Action - Host - Isolate Host,"Isolates indicators of type 'Host' and marks the indicator as ""Isolated"" based on its block status.","['ManualAction', 'Mitigation']",6,,API call,Mark as Isolated,s119, Mark as Isolated
p21,Fortinet,Action - Host - Isolate Host,"Isolates indicators of type 'Host' and marks the indicator as ""Isolated"" based on its block status.","['ManualAction', 'Mitigation']",6,,API call,Mark TBD,s120, Mark TBD
p23,Fortinet,Action - Host - Unblock (Specified by User),"Creates indicators for the host specified by the user, unblocks the host on the firewall, and also marks the indicator as Unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Playbook execution,Unblock Host,s133, Unblock Host
p24,Fortinet,Action - IP Address - Block (Forticlient EMS),Quarantines endpoint with the specified IP address on FortiClient EMS.,"['ManualAction', 'Mitigation']",5,fortinet-forticlient-ems,Connector,Qurantine Endpoint,s137,fortinet-forticlient-ems Qurantine Endpoint
p24,Fortinet,Action - IP Address - Block (Forticlient EMS),Quarantines endpoint with the specified IP address on FortiClient EMS.,"['ManualAction', 'Mitigation']",5,,Manual task,Add Note to Alert,s138, Add Note to Alert
p25,Fortinet,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,"['ManualAction', 'Mitigation']",10,fortigate-firewall,Connector,Block IP Address,s143,fortigate-firewall Block IP Address
p25,Fortinet,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,"['ManualAction', 'Mitigation']",10,,User decision,Block IP,s144, Block IP
p25,Fortinet,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,"['ManualAction', 'Mitigation']",10,fortinet-fortiedr,Connector,Isolate Host,s145,fortinet-fortiedr Isolate Host
p25,Fortinet,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,"['ManualAction', 'Mitigation']",10,,API call,Update Record,s146, Update Record
p25,Fortinet,"Action - IP Address - Block (Fortigate,FortiEDR)",Isolates and blocks specified IP addresses using FortiGate and FortiEDR.,"['ManualAction', 'Mitigation']",10,,Manual task,Add note to Alerts,s148, Add note to Alerts
p27,Fortinet,Action - IP Address - Block (Specified by User),"Creates indicators for the specified IP Address' , blocks the IP address on the firewall, and marks the indicators as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Manual task,Create IP Indicator _ Deduplicated,s155, Create IP Indicator _ Deduplicated
p27,Fortinet,Action - IP Address - Block (Specified by User),"Creates indicators for the specified IP Address' , blocks the IP address on the firewall, and marks the indicators as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Playbook execution,Block IP Address,s156, Block IP Address
p29,Fortinet,Action - IP Address - Unblock (Specified by User),"Creates indicators for the specified 'IP Address', unblocks the IP address on the firewall, and marks the indicators as unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Playbook execution,Unblock IP Address,s168, Unblock IP Address
p31,Fortinet,Action - URL - Block (Specified by User),"Creates indicators for the specified 'URL', blocks the URL on the firewall, and marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Manual task,Create URL Indicator _ Deduplicated,s177, Create URL Indicator _ Deduplicated
p33,Fortinet,Action - URL - Unblock (Specified by User),"Creates indicators for the specified 'URL', unblocks the URL on the firewall, and marks the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.","['ManualAction', 'Mitigation']",4,,Playbook execution,Unblock URL,s186, Unblock URL
p34,Fortinet,Activate Inactive Users - Update User Status,This is a subroutine playbook to update the user status as active,['Subroutine'],3,cyops_utilities,Connector,Active Users Status,s189,cyops_utilities Active Users Status
p34,Fortinet,Activate Inactive Users - Update User Status,This is a subroutine playbook to update the user status as active,['Subroutine'],3,cyops_utilities,Connector,Update Active Users,s190,cyops_utilities Update Active Users
p35,Fortinet,Activate Inactive Users,Find the Inactive users and activate them,"['ManualTrigger', 'Alerts']",3,,Query/filter task,Find Inactive Users,s193, Find Inactive Users
p35,Fortinet,Activate Inactive Users,Find the Inactive users and activate them,"['ManualTrigger', 'Alerts']",3,,Playbook execution,Activate Users,s194, Activate Users
p36,Fortinet,Add Attacker Tag to Indicator (FortiDeceptor),Finds the Attacker IP Address in a FortiDeceptor alert and adds the Attacker Tag to the indicator as well as updates the reputation of the indicator to Malicious.,['PostUpdate'],3,,Query/filter task,Find Attacker IP,s195, Find Attacker IP
p36,Fortinet,Add Attacker Tag to Indicator (FortiDeceptor),Finds the Attacker IP Address in a FortiDeceptor alert and adds the Attacker Tag to the indicator as well as updates the reputation of the indicator to Malicious.,['PostUpdate'],3,,API call,Add Tag to Indicator and Update Reputation,s196, Add Tag to Indicator and Update Reputation
p37,Fortinet,Add Note for Communication Linked (Received),Adds a note stating a new communication that was received has been linked to alert.,"['system', 'create']",4,,Configuration,Get Related Records,s198, Get Related Records
p38,Fortinet,Add Note for Communication Linked,Adds a note stating a new communication has been linked to alert.,"['system', 'PostUpdate']",6,,Condition,New Record Linked,s205, New Record Linked
p38,Fortinet,Add Note for Communication Linked,Adds a note stating a new communication has been linked to alert.,"['system', 'PostUpdate']",6,,Configuration,No New Record,s207, No New Record
p39,Fortinet,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",['ManualTrigger'],9,,Configuration,Add URL to Excluded URL List,s208, Add URL to Excluded URL List
p39,Fortinet,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",['ManualTrigger'],9,,Configuration,Add Domain to Excluded Domains List,s209, Add Domain to Excluded Domains List
p39,Fortinet,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",['ManualTrigger'],9,,API call,Add Indicator to Exclude List,s212, Add Indicator to Exclude List
p39,Fortinet,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",['ManualTrigger'],9,cyops_utilities,Connector,Update Excluded IPs List,s213,cyops_utilities Update Excluded IPs List
p39,Fortinet,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",['ManualTrigger'],9,cyops_utilities,Connector,Update Excluded Domains List,s214,cyops_utilities Update Excluded Domains List
p39,Fortinet,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",['ManualTrigger'],9,,Configuration,Add IP to Excluded IP List,s215, Add IP to Excluded IP List
p39,Fortinet,Add to Exclude List,"Add IP, Domain and URL in Excluded Global Variables",['ManualTrigger'],9,cyops_utilities,Connector,Update Excluded Urls,s216,cyops_utilities Update Excluded Urls
p40,Fortinet,Alert - Close Corresponding SIEM Alert,Closes the alert on the corresponding SIEM when an alert is closed in FortiSOAR.,['PostUpdate'],4,,User decision,Close SIEM Alert,s218, Close SIEM Alert
p40,Fortinet,Alert - Close Corresponding SIEM Alert,Closes the alert on the corresponding SIEM when an alert is closed in FortiSOAR.,['PostUpdate'],4,,Manual task,Add Clossure note,s219, Add Clossure note
p40,Fortinet,Alert - Close Corresponding SIEM Alert,Closes the alert on the corresponding SIEM when an alert is closed in FortiSOAR.,['PostUpdate'],4,,Manual task,Add No Change Note,s220, Add No Change Note
p41,Fortinet,Alert - Disable Specific User,Disables the specified User Account from the Active Directory.,['ManualAction'],3,activedirectory,Connector,Block a User within a Windows Active Directory,s222,activedirectory Block a User within a Windows Active Directory
p41,Fortinet,Alert - Disable Specific User,Disables the specified User Account from the Active Directory.,['ManualAction'],3,,Manual task,Add Status Notes,s223, Add Status Notes
p42,Fortinet,Alert - Escalate to Incident (Link Relations),This playbook will extract related records and assign to incident created,['system'],3,,Configuration,Return Related Records,s226, Return Related Records
p43,Fortinet,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,['system'],8,,Playbook execution,Get Related Records,s227, Get Related Records
p43,Fortinet,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,['system'],8,,Manual task,Insert Comment,s229, Insert Comment
p43,Fortinet,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,['system'],8,,API call,Set Escalate Status on Alert,s230, Set Escalate Status on Alert
p43,Fortinet,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,['system'],8,,Configuration,Set Playbook Result,s231, Set Playbook Result
p43,Fortinet,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,['system'],8,,Configuration,Get Unique Related Records,s232, Get Unique Related Records
p43,Fortinet,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,['system'],8,,Configuration,Consolidate Related Records,s233, Consolidate Related Records
p43,Fortinet,Alert - Escalate To Incident (No Trigger),Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,['system'],8,,Manual task,Insert One Incident_Many_to_One,s234, Insert One Incident_Many_to_One
p44,Fortinet,Alert - Escalate To Incident,Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,"['system', 'SystemWaitForCompletion']",4,,Configuration,Set Incident Lead Teams,s235, Set Incident Lead Teams
p44,Fortinet,Alert - Escalate To Incident,Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,"['system', 'SystemWaitForCompletion']",4,cyops_utilities,Connector,Get Incident Lead Teams,s236,cyops_utilities Get Incident Lead Teams
p44,Fortinet,Alert - Escalate To Incident,Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.,"['system', 'SystemWaitForCompletion']",4,,Playbook execution,Reference escalate playbook,s237, Reference escalate playbook
p45,Fortinet,Alert - Periodic Update Alert SLA Status,This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.,"['system', 'SLA', 'Subroutine']",8,,Condition,Check For Ack Violation,s241, Check For Ack Violation
p45,Fortinet,Alert - Periodic Update Alert SLA Status,This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.,"['system', 'SLA', 'Subroutine']",8,,API call,Set Ack SLA Missed,s243, Set Ack SLA Missed
p45,Fortinet,Alert - Periodic Update Alert SLA Status,This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.,"['system', 'SLA', 'Subroutine']",8,,Condition,Check Response Violation,s244, Check Response Violation
p45,Fortinet,Alert - Periodic Update Alert SLA Status,This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.,"['system', 'SLA', 'Subroutine']",8,,API call,Set Response SLA Missed,s245, Set Response SLA Missed
p45,Fortinet,Alert - Periodic Update Alert SLA Status,This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.,"['system', 'SLA', 'Subroutine']",8,cyops_utilities,Connector,No Action Needed,s246,cyops_utilities No Action Needed
p46,Fortinet,Alert - Set Assigned Date (upon creation),Update Assigned Date when Person is assigned to Alert,['system'],2,,API call,Set Assigned Date,s248, Set Assigned Date
p48,Fortinet,Alert - Set Resolved Date,"Update Resolved Date when State is marked ""Closed""",['system'],4,,API call,Update Resolved Date,s252, Update Resolved Date
p48,Fortinet,Alert - Set Resolved Date,"Update Resolved Date when State is marked ""Closed""",['system'],4,,Script,No Operations,s253, No Operations
p48,Fortinet,Alert - Set Resolved Date,"Update Resolved Date when State is marked ""Closed""",['system'],4,,Condition,Check Status is Closed,s254, Check Status is Closed
p49,Fortinet,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,"['system', 'SLA', 'Subroutine']",7,,Condition,Verify SLA Details,s255, Verify SLA Details
p49,Fortinet,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,"['system', 'SLA', 'Subroutine']",7,,Playbook execution,GET SLA,s257, GET SLA
p49,Fortinet,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,"['system', 'SLA', 'Subroutine']",7,,API call,Update SLA,s258, Update SLA
p49,Fortinet,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,"['system', 'SLA', 'Subroutine']",7,slacalculator,Connector,Calculate Ack SLA,s259,slacalculator Calculate Ack SLA
p49,Fortinet,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,"['system', 'SLA', 'Subroutine']",7,slacalculator,Connector,Calculate Resp SLA,s260,slacalculator Calculate Resp SLA
p49,Fortinet,Alert - Update SLA Details,Updates an alert's acknowledgement due date and response due date based on the severity of the alert.,"['system', 'SLA', 'Subroutine']",7,cyops_utilities,Connector,No SLA Details Fetched,s261,cyops_utilities No SLA Details Fetched
p50,Fortinet,Alert - [01] Capture All SLA (Upon Create),Updates the alert's acknowledgement due date and response due date based on the alert’s severity.,"['system', 'SLA', 'PostCreate']",2,,Playbook execution,Update SLA,s263, Update SLA
p51,Fortinet,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,Condition,Status Check for Ack SLA,s265, Status Check for Ack SLA
p51,Fortinet,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,Condition,Check Acknowledge SLA Status,s266, Check Acknowledge SLA Status
p51,Fortinet,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,API call,Set Acknowledge SLA as Missed,s267, Set Acknowledge SLA as Missed
p51,Fortinet,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,API call,Set Acknowledge SLA as Met,s268, Set Acknowledge SLA as Met
p51,Fortinet,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,Playbook execution,Get SLA Details,s269, Get SLA Details
p51,Fortinet,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,Condition,Check Current Status To Pause SLA,s270, Check Current Status To Pause SLA
p51,Fortinet,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,API call,Pause Ack SLA,s271, Pause Ack SLA
p51,Fortinet,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,slacalculator,Connector,Recalculate Ack SLA,s272,slacalculator Recalculate Ack SLA
p51,Fortinet,Alert - [02] Capture Ack SLA (Upon Update),Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,API call,Resume Ack SLA,s273, Resume Ack SLA
p52,Fortinet,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,API call,Pause Response SLA,s276, Pause Response SLA
p52,Fortinet,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,Condition,Status Check for Response SLA,s278, Status Check for Response SLA
p52,Fortinet,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,Condition,Check Response SLA Status,s279, Check Response SLA Status
p52,Fortinet,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,API call,Set Response SLA as Met,s280, Set Response SLA as Met
p52,Fortinet,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,API call,Set Response SLA as Missed,s281, Set Response SLA as Missed
p52,Fortinet,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,slacalculator,Connector,Recalculate Response SLA,s282,slacalculator Recalculate Response SLA
p52,Fortinet,Alert - [03] Capture Response SLA (Upon Update),Updates the alert's response date and SLA Status based on when the alert status is changed.,"['system', 'PostUpdate', 'SLA']",10,,API call,Resume Response SLA,s283, Resume Response SLA
p53,Fortinet,Alert - [04] Check for SLA violations,Checks periodically for violations of acknowledgement SLA of the open alerts.,"['system', 'SLA', 'Scheduled']",3,,Query/filter task,Fetch Open Alert,s284, Fetch Open Alert
p53,Fortinet,Alert - [04] Check for SLA violations,Checks periodically for violations of acknowledgement SLA of the open alerts.,"['system', 'SLA', 'Scheduled']",3,,Playbook execution,Update SLA Status,s285, Update SLA Status
p54,Fortinet,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,"['system', 'PostUpdate', 'SLA']",13,,Playbook execution,GET Current SLA,s288, GET Current SLA
p54,Fortinet,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,"['system', 'PostUpdate', 'SLA']",13,,API call,Update Reset Ack SLA,s290, Update Reset Ack SLA
p54,Fortinet,Alert - [05] Update Ack and Response Due dates (Post Severity Change),Updates the alert’s acknowledge due date and response due date for change in the severity of alerts,"['system', 'PostUpdate', 'SLA']",13,slacalculator,Connector,Reset Ack SLA,s291,slacalculator Reset Ack SLA
