type;action;artifact
2;annotate;['text', 'sharing ioc', 'ioc block allow confict', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'text']
5,2;append;['results', 'CSV file', 'domain blocklist', 'ip blocklist', 'URL blocklist', 'case comment', 'list', 'data', 'IP context list', 'IP context list', 'IPs', 'CIDR tag', 'TLD wildcard', 'EDL tag', 'EDL tag', 'black tag', 'white tag', 'watch list tag', 'digest info', 'ioc', 'ioc', 'ioc', 'domain block list', 'domain white list', 'IP context list']
5;apply;['block policy', 'file scorer', 'cve policy', 'test patch', 'block policy', 'block policy']
1;approve;['exception request', 'exception', 'vulnerability sync batch', 'exception', 'indicator email', 'sharing data set', 'rebuild', 'reinstall', 'restoration', 'exception request', 'exception', 'indicator email']
2;archive;['timer', 'channel', 'submitter profile']
1;ask;['criticality tag', 'details', 'purge', 'criticality tag']
1;assert;['alert', 'machine', 'machine', 'alert', 'query results']
4;assess;['severity', 'C&C communication history', 'file history', 'unusual activity', 'severity']
3;assign;['user', 'user license', 'tag', 'instance', 'incident', 'incident', 'personnel', 'analyst', 'user', 'tag', 'analyst', 'personnel']
4;associate;['indicator', 'group attribute', 'indicator', 'group', 'indicator', 'indicator sample', 'indicators', 'incident', 'indicators', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident', 'incident']
5;attach;['denyall policy', 'report', 'denyall policy', 'new ebs root volume', 'new ebs root volume']
5;attempt;['restoration']
2;authenticate;['email', 'email', 'email']
2;authorize;['senders']
1;await;['playbook', 'playbook', 'automated test completion', 'block timelimit', 'playbook', 'block timelimit']
5;ban;['hash', 'hash', 'hash', 'hash', 'IP', 'hashes', 'IP']
5;begin;['revoke session']
5;blacklist;['hash', 'hash', 'hash', 'MS5 hash', 'indicator', 'indicator', 'indicator', 'url', 'hash', 'hash', 'hash', 'MS5 hash', 'indicator', 'indicator']
5;block;['IP', 'domain', 'file hash', 'URL', 'Email address', 'file MD5', 'host', 'IP address', 'IP address', 'user', 'user', 'IP', 'ip', 'conversation', 'source port', 'destination port', 'destination subnet', 'source subnet', 'IP', 'IP', 'sender', 'iocs', 'outbound emails', 'hash', 'domain account', 'domain account', 'ip address', 'IP', 'host', 'indicator', 'sender', 'domain', 'domain', 'outbound', 'inbound', 'sender', 'sender', 'ip access', 'ip', 'ip', 'hash', 'domain', 'domain', 'ip', 'outbound traffic', 'traffic', 'url', 'ip', 'domain', 'IP', 'ip', 'IP', 'IP', 'IP', 'IP', 'IP', 'IP', 'URLs', 'email', 'domain url', 'ip', 'ip', 'domain url', 'domain url', 'file', 'email', 'domain', 'domain', 'ip', 'ip', 'domain', 'Email address', 'Email address', 'URL', 'domain account', 'domain account', 'ip address', 'IP', 'host', 'sender', 'sender', 'sender', 'ip', 'ip', 'hash', 'ip', 'ip', 'ip', 'outbound traffic', 'traffic', 'hash', 'hash', 'domain', 'hash', 'ip', 'hash', 'ip', 'ip', 'hash', 'ip', 'hash', 'url', 'ip', 'ip', 'url', 'domain', 'ip', 'ip', 'hash', 'ip', 'ip', 'ip', 'hash', 'hash', 'ip', 'ip', 'url', 'hash', 'ip']
1;break;['loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'snapmirror relationship', 'loop', 'iterator', 'loop', 'workflow', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'loop', 'iterator', 'loop']
3;broadcast;['alert']
2;build;['results', 'malicious results', 'known good results', 'clean results', 'error results', 'verdict', 'knowngood results', 'scan results', 'user array', 'conversation', 'results', 'detection', 'array', 'alert description', 'notes string', 'verdict', 'verdict', 'error results', 'user array', 'results', 'results', 'results', 'results', 'results', 'results', 'results', 'results', 'results', 'results']
2;calculate;['Ack SLA', 'response SLA', 'priority weight', 'scores', 'minimum case date', 'levenshtein', 'historical rules', 'total reports', 'total scans', 'total domain reports', 'ip reports', 'votes', 'date difference', 'start time', 'timestamp', 'time', 'vulnerability risk', 'mission risk', 'ioc risk score', 'priority weight', 'Ack SLA', 'response SLA', 'total reports', 'total reports', 'total reports', 'total reports', 'total scans', 'total scans', 'ip reports', 'votes', 'date difference', 'date difference', 'date difference', 'date difference', 'date difference']
1;call;['table', 'api', 'playbook', 'api']
2;capture;['tags']
3;catch;['ticket']
3,5;change;['case status', 'case status', 'disabled computers', 'priority', 'case name', 'formatting', 'delimiter', 'block allow list', 'priority', 'priority', 'priority', 'priority', 'priority', 'priority', 'priority', 'priority', 'delimiter']
