action,artifact
curate,"['stix message', 'stix messages', 'stix message']"
de,['port']
deactivate,"['partition', 'partition']"
decide,"['snapshots', 'snapshot', 'asset onboarding', 'AV scan', 'manual task', 'IP address block', 'template', 'domain block', 'block', 'quarantine', 'if else condition', 'coa', 'condition', 'indicator', 'playbook', 'risk threshold', 'enrichment output', 'related event', 'playbook', 'playbook', 'if else', 'action', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'domain block', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'playbook', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'related event', 'related event', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'if else']"
decode,"['file', 'EML', 'powershell', 'report', 'header', 'URL', 'cve report', 'data', 'url', 'base64 string', 'report', 'report', 'report']"
decompress,"['zip', 'file', 'zip']"
decrease,['context level']
decrypt,['gpg file']
deduplicate,"['events', 'events', 'host', 'host', 'incidents', 'events', 'events', 'events', 'individual breaches', 'results', 'events', 'advisories', 'feed', 'JIRA ticket', 'items', 'user', 'training', 'event id', 'question', 'post', 'techniques', 'alerts', 'tactics', 'countries list', 'hostname', 'threat object', 'user', 'host', 'efficiency', 'events', 'events', 'events', 'incidents', 'individual breaches', 'events', 'events', 'results', 'training', 'training', 'events', 'alerts', 'tactics', 'techniques', 'alerts', 'techniques', 'tactics', 'hostname', 'threat object', 'host']"
defang,"['array', 'hxxp']"
deisolate,['endpoint']
delay,"['event', 'backup', 'minutes', 'seconds', 'seconds', 'event', 'seconds', 'minutes', 'minutes', 'minutes', 'action', 'event', 'event', 'event', 'event', 'seconds', 'seconds', 'seconds', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'minutes', 'minutes', 'minutes']"
delete,"['attachment', 'incident resource', 'mail', 'message', 'user', 'user', 'session', 'story', 'speedbump', 'mail', 'messages', 'items', 'context', 'page', 'page', 'trail', 'record', 'context', 'file job', 'user', 'profile', 'landing page', 'template', 'campaigns', 'group', 'explorer.exe', 'dummy vaccination', 'incident', 'context', 'file', 'tickets', 'threat', 'campaign', 'indicator', 'incident', 'group', 'case', 'suspicious', 'unsucessful', 'asset', 'asset', 'asset', 'messages', 'email', 'email', 'email', 'email', 'exception', 'folders', 'ad account', 'memory table columns', 'memory table rows', 'file', 'file', 'vm snapshot', 'service account key', 'email', 'file', 'indicator', 'indicator', 'run tags', 'file', 'file', 'context', 'stix object', 'session', 'session', 'message', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'suspicious', 'asset', 'email', 'email', 'ad account', 'memory table columns', 'file', 'file', 'file', 'file', 'file', 'memory table rows', 'folders', 'vm snapshot', 'folders', 'memory table columns', 'service account key', 'file', 'email', 'email', 'context']"
deobfuscate,"['powershell', 'powershell', 'powershell']"
deploy,"['patch title', 'patch', 'computer', 'IoC', 'patch', 'mitigation', 'patch', 'account reset', 'patch', 'IoC']"
describe,"['security group rules', 'ebs volume', 'trails', 'instance', 'instance', 'instance', 'instance', 'instance', 'instance']"
detach,"['denyall policy', 'EBS root volume', 'EBS root volume']"
detect,"['incident activity', 'incident activity', 'incident activity', 'incident activity', 'incident activity', 'username', 'alerts', 'alerts', 'alert', 'RDP connection', 'RDP connection', 'alerts', 'alert', 'RDP connection']"
determine,"['ip type', 'connection status', 'response', 'quarantine state', 'IP address', 'ip', 'domain risk', 'ip type', 'quarantine state', 'quarantine state', 'IP address']"
detonate,"['file', 'url', 'url', 'file', 'file', 'autorun items', 'file', 'file', 'file', 'file', 'url', 'url', 'file', 'url', 'file', 'file', 'file', 'file', 'file', 'url']"
develop,"['mitigation strategy', 'mitigation strategy', 'mitigation strategy']"
dig,"['IP output message', 'IP output message', 'IP output message', 'IP output message']"
disable,"['event logging', 'user', 'user account', 'status message', 'status message', 'status mesa', 'status message', 'user', 'LDAP', 'compromised user', 'ad account', 'account', 'user', 'user', 'DNS monitor', 'whois monitor', 'compromised account', 'account', 'compromised AD accounts', 'event logging', 'status message', 'status message', 'status mesa', 'user account', 'status message', 'user', 'ad account', 'account', 'account', 'account', 'account', 'user', 'user', 'user', 'user', 'user', 'DNS monitor', 'whois monitor']"
disconnect,"['connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector']"
discover,"['process', 'remote system uncommon discovery', 'indicators system information', 'files', 'UNIX', 'system network configurations', 'file indicators', 'permissions groups', 'system time', 'system information', 'security software', 'system service', 'peripherals device', 'remote system', 'permission group', 'system service', 'system owner', 'peripheral device', 'network connection', 'account', 'software', 'process indicators', 'sofware indicators', 'network connection indicators', 'network connection indicators']"
discovery,['security software indicators']
dispatch,['playbook']
display,"['value', 'email headers', 'email information', 'email headers', 'email headets', 'value', 'value', 'email information', 'email headers', 'email information', 'email headers', 'email information', 'email headers']"
do,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
document,"['test', 'done', 'script', 'file', 'query', 'success', 'Genians', 'case management', 'alarm management', 'URL', 'threat', 'alert', 'manual remediation steps', 'incident digest', 'test', 'test', 'done', 'done', 'done', 'done', 'done', 'done', 'test', 'done', 'done', 'done', 'done', 'done', 'test', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'test', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done']"
double,['extension detection']
download,"['report', 'file', 'file', 'file', 'screenshot', 'report', 'file contents', 'material attachment', 'txt file', 'files', 'doc file', 'downloads docx', 'pdf file', 'eml file', 'xlsx file', 'email', 'SMIME', 'doc file', 'msg file', 'url', 'successfuls', 'indicators', 'indicators', 'module', 'files', 'files', 'attachments', 'sample', 'file', 'URL', 'report', 'txt file', 'files', 'doc file', 'downloads docx', 'pdf file', 'eml file', 'eml file', 'eml file', 'eml file', 'eml file', 'eml file', 'doc file', 'eml file', 'url', 'indicators', 'files', 'files', 'sample', 'file']"
drop,"['file hash', 'columns', 'integration errors', 'columns', 'columns', 'columns']"
dump,"['list content', 'active direcoty', 'active directory', 'credentials', 'list content', 'active direcoty', 'active directory', 'credentials']"
edit,"['severity', 'user name']"
email,"['graph', 'security alert', 'error message', 'message', 'success results', 'watch floor', 'report', 'report', 'case review status', 'ioc status', 'ioc status', 'consolidated domain list', 'ip list status', 'security alert', 'watch floor', 'watch floor', 'case review status', 'ioc status']"
enable,"['ebs encryption', 'user', 'user account', 'status message', 'status message', 'status message', 'status message', 'ad account', 'privileged commands', 'user account', 'status message', 'user', 'status message', 'user account', 'status message', 'ad account', 'privileged commands']"
encode,"['update report', 'creation report', 'url', 'url indicator', 'jira credentials', 'data', 'update report', 'creation report', 'update report', 'update report', 'creation report', 'url']"
end,"['live response session', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow']"
enrich,"['indicator', 'domain reputation', 'summary', 'email reputation', 'file reputation', 'IP reputation', 'URL reputation', 'file hash reputation', 'host reputation', 'process reputation', 'IP', 'domain', 'hash', 'domain', 'CVE', 'IP', 'user', 'entity', 'entity', 'file', 'indicators', 'indicators', 'indicators', 'file', 'indicators', 'indicators', 'indicators', 'indicators', 'summary', 'email reputation', 'summary', 'summary', 'summary', 'indicator', 'domain reputation', 'IP reputation', 'email reputation', 'file reputation', 'summary', 'email reputation', 'IP', 'user', 'user', 'entity', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators']"
ensure,"['fields', 'output fields', 'raw columns', 'raw log field', 'columns']"
enter,"['hash', 'hash']"
enumerate,"['host', 'file', 'file']"
eradicate,"['incident activity', 'incident activity', 'incident activity']"
erase,['cursor cache']
escalate,"['alert status', 'escalate playbook', 'issue', 'CISO', 'case', 'event']"
escape,['string']
evade,"['virtualization sandbox', 'virtualization sandbox indicators']"
evaluate,"['ioc', 'ioc coa', 'ioc', 'system coa alert review', 'ioc coas', 'ioc', 'ioc coa', 'ioc coas', 'ioc coas', 'ioc coas', 'ioc', 'ioc coa']"
exclude,"['URL', 'domain', 'indicator', 'IP', 'indicators', 'indicators']"
execute,"['rtr command', 'script', 'web api', 'developer utilities', 'program.exe', 'rundll32 technique', 'html file technique', 'regscr32 technique', 'fdump', 'cmtps technique', 'dfbinst', 'setmyparent', 'office spawn scripting tool', 'command line', 'shell process', 'AT', 'AT output', 'task', 'task', 'vulnerability sync task', 'program', 'mitigation matching policy', 'coa', 'restoration workflow', 'rtr command', 'web api', 'web api', 'web api', 'rundll32 technique', 'setmyparent', 'shell process', 'AT', 'AT output', 'task', 'task', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'program']"
exit,"['domains', 'IPS', 'hash', 'IP', 'workflow', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition']"
expand,"['event', 'results', 'URLs', 'url qids', 'attachment qids', 'result']"
explde,['rcpts']
explode,"['employees', 'behaviour', 'detections', 'domains', 'submissions', 'iocs', 'image URLs', 'stories', 'stories', 'users', 'alerts', 'members', 'global resource', 'individual detections', 'leads', 'alerts', 'content', 'violations', 'access keys', 'results', 'recent advisories', 'recent advisories', 'feed item', 'IP', 'domains', 'gsuite admin events', 'individual detections', 'behaviors', 'articles', 'users', 'messages', 's3 object resources', 'ip addresses', 'AWS findings', 'chrome extensions', 'emails', 'assignees', 'enrollments', 'enrollments', 'enrollments', 'projects', 'snyk issues', 'agent id', 'osquery actions', 'alerts', 'sentences', 'emails', 'data', 'events array', 'tags array', 'whois results', 'qids', 'parts', 'subject', 'sender', 'relay', 'forwarding', 'URLs', 'alert tactic', 'alert techniques', 'alert id', 'violations', 'violations', 'violations', 'violations', 'violations', 'alerts', 'results', 'assignees', 'emails', 'data', 'data', 'parts', 'alert techniques']"
explode ,['credentials']
export,"['items', 'story', 'story', 'story', 'story', 'story']"
extract,"['email info', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'body indicators', ' ioc data', 'domains', 'macros', 'iocs', 'images', 'domain', 'ticket id', 'email address', 'iocs', 'iocs', 'details', 'message details', 'credentials', 'pdf', 'links', 'IP address', 'ip selection', 'bucket', 'IP', 'memory', 'array slice', 'domain', 'details', 'email address', 'IP address', 'external ip', 'IP', 'iocs', 'alert', 'dns domain', 'domain', 'source domain', 'URLs', 'json', 'json', 'output json', 'cve details', 'report fields', 'history fields', 'regex', 'json fields', 'tld', 'tld', 'json fields', 'json fields', 'search base', 'command', 'action', 'hostname', 'ip', 'address', 'term', 'reports', 'patch title', 'dns names', 'title', 'action', 'dn', 'display name', 'cves', 'cves', 'hash', 'domain', 'domains', 'sha256', 'md5 hash', 'SHA1 hash', 'url', 'asset group information', 'IP', 'IP', 'argument', 'urls', 'URLs', 'header domains', 'domains', 'domains', 'URLs', 'URLs', 'URL', 'email body', 'domain', 'email address', 'URL', 'domains', 'header domains', 'domains', 'domains', 'arguments', 'body argument', 'arguments', 'source ip', 'OU', 'url', 'hashes', 'domains', 'ips', 'CVE list', 'asset id', 'hostname', 'hostname', 'asset ids', 'line', 'function', 'regex mail', 'owners names', 'results ioc', 'stats', 'keyword', 'keywords', 'data', 'keywords', 'API response', 'watchtower access token', 'access token', 'file protection API response', 'api response', 'API response', 'API response', 'snort rules', 'rule name', 'report id', 'yara rules', 'hosts', 'regex', 'jira id', 'data', 'ticket details', 'URL path', 'base URL', 'URLs', 'sample id ', 'iocs', 'indicators', 'incident indicators', 'file indicators', 'pdf indicators', 'word indicators', 'image text', 'reporter email address', 'email details', 'email artifacts', 'reporter email headers', 'alert type', 'account info', 'service users', 'user behavior analytics', 'account info', 'user name', 'embedded url', 'attachment file', 'unknown status ioc', 'alert system info', 'stix object', 'submitter', 'cve data', 'cve severity', 'submitter id', 'rule', 'ids rule', 'event data', 'stix data', 'ioc', 'ids rule', 'coa', 'operator recommendation', 'alert account information', 'ics device network location', 'domain', 'sender', 'file hash', 'ioc ip', 'source file ioc', 'source content ioc', 'ioc stix data', 'ticket id', 'details', 'iocs', 'IP', 'details', 'email address', 'email address', 'domain', 'report fields', 'command', 'command', 'action', 'action', 'ip', 'reports', 'patch title', 'reports', 'reports', 'action', 'cves', 'cves', 'hash', 'sha256', 'md5 hash', 'SHA1 hash', 'asset group information', 'argument', 'argument', 'urls', 'URLs', 'URLs', 'domains', 'URLs', 'header domains', 'domains', 'URLs', 'header domains', 'URLs', 'domains', 'domains', 'URLs', 'URLs', 'domains', 'domains', 'URLs', 'domains', 'domains', 'URLs', 'URLs', 'body argument', 'body argument', 'arguments', 'action', 'action', 'action', 'action', 'command', 'command', 'action', 'action', 'argument', 'dn', 'line', 'function', 'regex mail', 'keywords', 'watchtower access token', 'access token', 'watchtower access token', 'file protection API response', 'watchtower access token', 'api response', 'api response', 'watchtower access token', 'watchtower access token', 'API response', 'API response', 'watchtower access token', 'API response', 'watchtower access token', 'watchtower access token', 'regex', 'URL path', 'incident indicators', 'email details', 'email artifacts', 'email artifacts', 'account info', 'submitter id', 'ids rule', 'coa', 'alert account information', 'source file ioc', 'source content ioc']"
fetch,"['SLA details', 'open alert', 'relation', 'open incidents', 'user details ', 'user details', 'user details', 'SLA details', 'team roster', 'security event', 'security event log', 'IoCs', 'EML', 'related logs', 'alarm', 'commands', 'incidents', 'field', 'fixlet', 'es asset', 'security event log', 'files', 'SLA details', 'SLA details', 'SLA details', 'SLA details', 'SLA details', 'team roster', 'team roster', 'team roster', 'team roster', 'team roster', 'security event', 'related logs', 'fixlet']"
fill,['form']
filter,"['employees', 'training status', 'training status', 'training status', 'training status', 'training status', 'training status', 'unknown', 'cases', 'login events', 'usable scans', 'prefix', 'data', 'activity', 'event type activity', 'service account name', 'array', 'process', 'URL', 'hash', 'detection', 'URLs', 'kill command', 'kill command', 'vulnerabilities risk score', 'sites', 'result', 'ip list', 'domain list', 'list', 'pgp mail', 'ip list', 'found ip list', 'positive list', 'ip list', 'malicious list', 'data', 'data', 'inactive account', 'matching domain', 'os', 'host', 'risk rule', 'notable artifact', 'high risk artifact', 'event id', 'case', 'artifact score', 'response', 'matching asset', 'matching identity', 'score', 'emailaddress', 'sha256', 'ip', 'host', 'url', 'md5', 'sha1', 'list', 'block list', 'spam list', 'training status', 'URL', 'process', 'URL', 'hash', 'array', 'process', 'URL', 'hash', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'domain list', 'ip list', 'ip list', 'found ip list', 'malicious list', 'ip list', 'found ip list', 'positive list', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'risk rule', 'event id', 'response', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'event id', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'score', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'list', 'block list']"
finalize,['behavior profile']
find,"['inactive users', 'attacker IP', 'approval record', 'related records', 'related alerts', 'email thread', 'records', 'similar alerts', 'similar alerts', 'flag comment', 'asset', 'communications records', 'related records', 'asset', 'template', 'story', 'questions', 'sentences', 'file', 'asset', 'IP', 'commands', 'threat activity', 'sender', 'subject', 'relay', 'forwarding', 'extensions', 'URLs', 'urls', 'results', 'emails', 'domain', 'hostname', 'vulnerability information', 'asset', 'DN', 'message', 'email', 'emails', 'asset id', 'issues', 'issues', 'ticket', 'agents', 'asset id', 'asset', 'supported indicator type', 'matching playbook', 'related event', 'identity', 'asset', 'malware', 'data', 'hash', 'datastore entry id', 'due date', 'incidents', 'similar incidents', 'similar incidents', 'similar incidents', 'closed incidents', 'asset', 'email thread', 'related alerts', 'asset', 'IP', 'urls', 'vulnerability information', 'vulnerability information', 'vulnerability information', 'email', 'emails', 'DN', 'issues', 'asset id', 'DN', 'malware', 'matching playbook', 'related event', 'asset', 'hash', 'datastore entry id', 'hash', 'datastore entry id']"
finish,"['workflow', 'workflow']"
fire,"['detection rule', 'rule', 'rule']"
flatten,"['json', 'report item']"
force,"['failure', 'password resets']"
form,['URL']
format,"['message', 'return', 'ID list', 'threat', 'subject', 'whois', 'URL results', 'detontation results', 'email', 'ip results', 'whois', 'domain results', 'callback IP', 'malware information', 'report', 'URL', 'IP', 'URL', 'domain', 'alert', 'alert', 'alert', 'alert', 'alert', 'data', 'ticket_description', 'note', 'note', 'host list prompt', 'custom note', 'zip', 'file removal', 'data collection script', 'containment note', 'case output', 'merge output', 'join', 'playbook note', 'summary note', 'end note', 'prompt', 'note', 'event name', 'url', 'asset query', 'identity query', 'error note', 'final note', 'close task', 'verdict', 'string', 'json', 'string', 'json', 'datetime', 'description', 'signature', 'title', 'description', 'ioc', 'removable media system error ticket', 'ticket alert', 'ticket', 'stix bundle', 'stix sighting', 'misp data', 'ids rule', 'review info', 'ids rule', 'local enrichment query', 'output', 'return', 'URL results', 'domain results', 'whois', 'malware information', 'alert', 'alert', 'alert', 'alert', 'alert', 'alert', 'alert', 'alert', 'alert', 'alert', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'ticket_description', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'note', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'note', 'host list prompt', 'custom note', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'summary note', 'end note', 'prompt', 'url', 'close task', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'verdict', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'datetime', 'ids rule', 'ids rule', 'ids rule', 'ids rule', 'output']"
forward,"['suspicious triage email', 'email']"
gather,"['signature information', 'case data', 'relevant alert', 'alert data', 'iocs', 'case ioc', 'blocked file digest', 'account info', 'privilege directory info', 'service users', 'service alert details', 'system alert information', 'signature information', 'service alert details', 'system alert information']"
generate,"['report', 'war room summary', 'date', 'service use report', 'backup info', 'hashes', 'rapcve report', 'hash', 'vulnerability list', 'delete command', 'report header', 'investigation summary report', 'summary report', 'ticket', 'internal traffic alert', 'internal traffic alert', 'service heartbeat alert', 'attachment file hashes', 'ticket', 'recovery ticket', 'heartbeat failure ticket', 'email response ticket', 'ip response ticket', 'stix bundle', 'stix bundle', 'delete command', 'investigation summary report', 'ticket', 'internal traffic alert', 'internal traffic alert', 'ip response ticket', 'stix bundle']"
geolocate,"['ip address', 'ip', 'ip', 'ip', 'ip', 'ip', 'ip', 'ip', 'ip', 'ip', 'ip', 'ip', 'ip', 'ip', 'ip', 'ip']"
