playbook_id;step_id;vendor;playbook_name;playbook_description;step_names;step_types;step_description;actuator;action;artifact;automation
p2;s14;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;approvals Bring Asset in network back;User decision;Platform approvals Bring Asset in network back;Human;onboard;asset;0
p2;s15;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;cleans Asset Again;User input;Platform cleans Asset Again;Human;input;asset;0
p2;s16;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;adds Note For Clean Asset;Manual task;Platform adds Note For Clean Asset;Human;add;note;0
p2;s17;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;checks If we found any Malicious Indicator;Condition;Platform checks If we found any Malicious Indicator;Platform;check;malicious indicator;1
p2;s18;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;assests Isolation Task;User input;Platform assests Isolation Task;Human;input;asset;0
p2;s19;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;takes decision on Snapshot;User decision;Platform takes decision on Snapshot;Human;decide;snapshot;0
p2;s20;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;brings Asset Back in the Network;User decision;Platform brings Asset Back in the Network;Human;decide;asset onboarding;0
p2;s21;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;adds Note For Snapshot;Manual task;Platform adds Note For Snapshot;Human;add;snapshot note;0
p2;s22;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;updates Record with Rescan details;API call;Platform updates Record with Rescan details;API;update;record;1
p2;s23;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;cleans Assest;User decision;Platform cleans Assest;Human;clean;asset;0
p2;s24;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;notes for Manual Task;Manual task;Platform notes for Manual Task;Human;add;note;0
p2;s25;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;notes about AV sacn;Manual task;Platform notes about AV sacn;Human;add;AV scan note;0
p2;s26;FortiSOAR;Action - Asset Mitigation;Carries out a sequence of processes such as Clean Asset, AV scan, etc. in order to decide whether to keep an asset in isolation or remove it from isolation.;avs Scan;User decision;Platform avs Scan;Human;decide;AV scan;0
p3;s29;FortiSOAR;Action - Domain - Block (Indicator);"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.";marks as TBD;API call;Platform marks as TBD;API;mark;TBD;1
p3;s30;FortiSOAR;Action - Domain - Block (Indicator);"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.";adds note to Indicator;Manual task;Platform adds note to Indicator;Human;add;indicator note;0
p3;s31;FortiSOAR;Action - Domain - Block (Indicator);"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.";marks as Blocked;API call;Platform marks as Blocked;API;mark;blocked status;1
p3;s32;FortiSOAR;Action - Domain - Block (Indicator);"Blocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Blocked"" based on its Block status.";manuals Task to Action;User decision;Platform manuals Task to Action;Human;decide;manual task;0
p4;s36;FortiSOAR;Action - Domain - Block (Specified by User);Creates an indicator for the domain name specified by the user, blocks the domain on the firewall, and also marks the status of the indicator 'Blocked’. The indicator is also linked to the record on which the playbook is triggered.;creates Domain Indicator _ Deduplicated;Manual task;Platform creates Domain Indicator _ Deduplicated;Human;create;domain indicator;0
p4;s37;FortiSOAR;Action - Domain - Block (Specified by User);Creates an indicator for the domain name specified by the user, blocks the domain on the firewall, and also marks the status of the indicator 'Blocked’. The indicator is also linked to the record on which the playbook is triggered.;links Indicator On Triggered Record;Connector;cyops_utilities links Indicator On Triggered Record;cyops_utilities;link; indicator;1
p5;s40;FortiSOAR;Action - Domain - Unblock (Indicator);"Unblocks the indicators of type 'Domain' on the firewall and marks the indicator as ""Unblocked"" based on its block status.";marks as Unblocked;API call;Platform marks as Unblocked;API;mark;unblocked status;1
p6;s47;FortiSOAR;Action - Domain - Unblock (Specified by User);Creates indicator for the domain name specified by the user, unblocks the domain on the firewall, and also marks the status of the indicator as ‘Unblocked’. The indicator is also linked to the record on which the playbook is triggered.;unblocks Domain;Playbook execution;Platform unblocks Domain;Platform;unblock;domain;1
p14;s86;FortiSOAR;Action - File - Unblock (Specified by User);Creates indicators for the file specified by the user, unblocks the file on the firewall, and also mark the status of the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.;unblocks File;Playbook execution;Platform unblocks File;Platform;unblock;file;1
p16;s94;FortiSOAR;Action - File MD5 - Block (Specified by User);Creates indicators for the filehash specified by the user, blocks the indicator on the firewall, and also marks the status of the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.;creates File MD5 Indicator _ Deduplicated;Manual task;Platform creates File MD5 Indicator _ Deduplicated;Human;create;file MD5 indicator;0
p16;s96;FortiSOAR;Action - File MD5 - Block (Specified by User);Creates indicators for the filehash specified by the user, blocks the indicator on the firewall, and also marks the status of the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.;blocks File MD5;Playbook execution;Platform blocks File MD5;Platform;block;file MD5;1
p17;s101;FortiSOAR;Action - File MD5 - Unblock (Specified by User);Creates indicators for the filehash specified by the user, unblocks the indicator on the firewall, and also marks the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.;unblocks File MD5;Playbook execution;Platform unblocks File MD5;Platform;unblock;file MD5;1
p20;s114;FortiSOAR;Action - Host - Block (Specified by User);Creates indicators for the host specified by the user, blocks the host on the firewall, and also marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.;blocks Host;Playbook execution;Platform blocks Host;Platform;block;host;1
p20;s115;FortiSOAR;Action - Host - Block (Specified by User);Creates indicators for the host specified by the user, blocks the host on the firewall, and also marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.;creates Host Indicator _ Deduplicated;Manual task;Platform creates Host Indicator _ Deduplicated;Human;create;host indicator;0
p21;s119;FortiSOAR;Action - Host - Isolate Host;"Isolates indicators of type 'Host' and marks the indicator as ""Isolated"" based on its block status.";marks as Isolated;API call;Platform marks as Isolated;API;mark;isolated status;1
p21;s120;FortiSOAR;Action - Host - Isolate Host;"Isolates indicators of type 'Host' and marks the indicator as ""Isolated"" based on its block status.";marks TBD;API call;Platform marks TBD;API;mark;TBD status;1
p23;s133;FortiSOAR;Action - Host - Unblock (Specified by User);Creates indicators for the host specified by the user, unblocks the host on the firewall, and also marks the indicator as Unblocked. The indicator is also linked to the record on which the playbook is triggered.;unblocks Host;Playbook execution;Platform unblocks Host;Platform;unblock;host;1
p24;s137;FortiSOAR;Action - IP Address - Block (Forticlient EMS);Quarantines endpoint with the specified IP address on FortiClient EMS.;qurantines Endpoint;Connector;FortiSOAR-forticlient-ems qurantines Endpoint;FortiSOAR-forticlient-ems;quarantine; endpoint;1
p24;s138;FortiSOAR;Action - IP Address - Block (Forticlient EMS);Quarantines endpoint with the specified IP address on FortiClient EMS.;adds Note to Alert;Manual task;Platform adds Note to Alert;Human;add;alert note;0
p25;s143;FortiSOAR;Action - IP Address - Block (Fortigate,FortiEDR);Isolates and blocks specified IP addresses using FortiGate and FortiEDR.;blocks IP Address;Connector;fortigate-firewall blocks IP Address;fortigate-firewall;block;IP address;1
p25;s144;FortiSOAR;Action - IP Address - Block (Fortigate,FortiEDR);Isolates and blocks specified IP addresses using FortiGate and FortiEDR.;blocks IP;User decision;Platform blocks IP;Human;decide;IP address block;0
p25;s145;FortiSOAR;Action - IP Address - Block (Fortigate,FortiEDR);Isolates and blocks specified IP addresses using FortiGate and FortiEDR.;isolates Host;Connector;FortiSOAR-fortiedr isolates Host;FortiSOAR-fortiedr;isolate;host;1
p25;s146;FortiSOAR;Action - IP Address - Block (Fortigate,FortiEDR);Isolates and blocks specified IP addresses using FortiGate and FortiEDR.;updates Record;API call;Platform updates Record;API;update;record;1
p25;s148;FortiSOAR;Action - IP Address - Block (Fortigate,FortiEDR);Isolates and blocks specified IP addresses using FortiGate and FortiEDR.;adds note to Alerts;Manual task;Platform adds note to Alerts;Human;add;alert note;0
p27;s155;FortiSOAR;Action - IP Address - Block (Specified by User);Creates indicators for the specified IP Address' , blocks the IP address on the firewall, and marks the indicators as blocked. The indicator is also linked to the record on which the playbook is triggered.;creates IP Indicator _ Deduplicated;Manual task;Platform creates IP Indicator _ Deduplicated;Human;create;IP indicator;0
p27;s156;FortiSOAR;Action - IP Address - Block (Specified by User);Creates indicators for the specified IP Address' , blocks the IP address on the firewall, and marks the indicators as blocked. The indicator is also linked to the record on which the playbook is triggered.;blocks IP Address;Playbook execution;Platform blocks IP Address;Platform;block;IP address;1
p29;s168;FortiSOAR;Action - IP Address - Unblock (Specified by User);Creates indicators for the specified 'IP Address', unblocks the IP address on the firewall, and marks the indicators as unblocked. The indicator is also linked to the record on which the playbook is triggered.;unblocks IP Address;Playbook execution;Platform unblocks IP Address;Platform;unblock;IP address;1
p31;s177;FortiSOAR;Action - URL - Block (Specified by User);Creates indicators for the specified 'URL', blocks the URL on the firewall, and marks the indicator as blocked. The indicator is also linked to the record on which the playbook is triggered.;creates URL Indicator _ Deduplicated;Manual task;Platform creates URL Indicator _ Deduplicated;Human;create;URL indicator;0
p33;s186;FortiSOAR;Action - URL - Unblock (Specified by User);Creates indicators for the specified 'URL', unblocks the URL on the firewall, and marks the indicator as unblocked. The indicator is also linked to the record on which the playbook is triggered.;unblocks URL;Playbook execution;Platform unblocks URL;Platform;unblock;URL;1
p34;s189;FortiSOAR;Activate Inactive Users - Update User Status;This is a subroutine playbook to update the user status as active;actives Users Status;Connector;cyops_utilities actives Users Status;cyops_utilities;get;user status;1
p34;s190;FortiSOAR;Activate Inactive Users - Update User Status;This is a subroutine playbook to update the user status as active;updates Active Users;Connector;cyops_utilities updates Active Users;cyops_utilities;update;user status;1
p35;s193;FortiSOAR;Activate Inactive Users;Find the Inactive users and activate them;finds Inactive Users;Query/filter task;Platform finds Inactive Users;Platform;find;inactive users;1
p35;s194;FortiSOAR;Activate Inactive Users;Find the Inactive users and activate them;activates Users;Playbook execution;Platform activates Users;Platform;activate;users;1
p36;s195;FortiSOAR;Add Attacker Tag to Indicator (FortiDeceptor);Finds the Attacker IP Address in a FortiDeceptor alert and adds the Attacker Tag to the indicator as well as updates the reputation of the indicator to Malicious.;finds Attacker IP;Query/filter task;Platform finds Attacker IP;Platform;find;attacker IP;1
p36;s196;FortiSOAR;Add Attacker Tag to Indicator (FortiDeceptor);Finds the Attacker IP Address in a FortiDeceptor alert and adds the Attacker Tag to the indicator as well as updates the reputation of the indicator to Malicious.;adds Tag to Indicator and Update Reputation;API call;Platform adds Tag to Indicator and Update Reputation;API;add;indicator tag;1
p37;s198;FortiSOAR;Add Note for Communication Linked (Received);Adds a note stating a new communication that was received has been linked to alert.;gets Related Records;Configuration;Platform gets Related Records;Platform;get;records;1
p38;s205;FortiSOAR;Add Note for Communication Linked;Adds a note stating a new communication has been linked to alert.;news Record Linked;Condition;Platform news Record Linked;Platform;check;linked records;1
p38;s207;FortiSOAR;Add Note for Communication Linked;Adds a note stating a new communication has been linked to alert.;nos New Record;Configuration;Platform nos New Record;Platform;check;records;1
p39;s208;FortiSOAR;Add to Exclude List;Add IP, Domain and URL in Excluded Global Variables;adds URL to Excluded URL List;Configuration;Platform adds URL to Excluded URL List;Platform;exclude;URL;1
p39;s209;FortiSOAR;Add to Exclude List;Add IP, Domain and URL in Excluded Global Variables;adds Domain to Excluded Domains List;Configuration;Platform adds Domain to Excluded Domains List;Platform;exclude;domain;1
p39;s212;FortiSOAR;Add to Exclude List;Add IP, Domain and URL in Excluded Global Variables;adds Indicator to Exclude List;API call;Platform adds Indicator to Exclude List;API;exclude;indicator;1
p39;s213;FortiSOAR;Add to Exclude List;Add IP, Domain and URL in Excluded Global Variables;updates Excluded IPs List;Connector;cyops_utilities updates Excluded IPs List;cyops_utilities;update;IP list;1
p39;s214;FortiSOAR;Add to Exclude List;Add IP, Domain and URL in Excluded Global Variables;updates Excluded Domains List;Connector;cyops_utilities updates Excluded Domains List;cyops_utilities;update;domain list;1
p39;s215;FortiSOAR;Add to Exclude List;Add IP, Domain and URL in Excluded Global Variables;adds IP to Excluded IP List;Configuration;Platform adds IP to Excluded IP List;Platform;exclude;IP;1
p39;s216;FortiSOAR;Add to Exclude List;Add IP, Domain and URL in Excluded Global Variables;updates Excluded Urls;Connector;cyops_utilities updates Excluded Urls;cyops_utilities;update;URL list;1
p40;s218;FortiSOAR;Alert - Close Corresponding SIEM Alert;Closes the alert on the corresponding SIEM when an alert is closed in FortiSOAR.;closes SIEM Alert;User decision;Platform closes SIEM Alert;Human;close;SIEM alert;0
p40;s219;FortiSOAR;Alert - Close Corresponding SIEM Alert;Closes the alert on the corresponding SIEM when an alert is closed in FortiSOAR.;adds Clossure note;Manual task;Platform adds Clossure note;Human;add;clossure note;0
p40;s220;FortiSOAR;Alert - Close Corresponding SIEM Alert;Closes the alert on the corresponding SIEM when an alert is closed in FortiSOAR.;adds No Change Note;Manual task;Platform adds No Change Note;Human;add;not change note;0
p41;s222;FortiSOAR;Alert - Disable Specific User;Disables the specified User Account from the Active Directory.;blocks a User within a Windows Active Directory;Connector;activedirectory blocks a User within a Windows Active Directory;activedirectory;block;user;1
p41;s223;FortiSOAR;Alert - Disable Specific User;Disables the specified User Account from the Active Directory.;adds Status Notes;Manual task;Platform adds Status Notes;Human;add;status notes;0
p42;s226;FortiSOAR;Alert - Escalate to Incident (Link Relations);This playbook will extract related records and assign to incident created;returns Related Records;Configuration;Platform returns Related Records;Platform;return;related records;1
p43;s227;FortiSOAR;Alert - Escalate To Incident (No Trigger);Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.;gets Related Records;Playbook execution;Platform gets Related Records;Platform;get;records;1
p43;s229;FortiSOAR;Alert - Escalate To Incident (No Trigger);Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.;inserts Comment;Manual task;Platform inserts Comment;Human;insert;comment;0
p43;s230;FortiSOAR;Alert - Escalate To Incident (No Trigger);Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.;sets Escalate Status on Alert;API call;Platform sets Escalate Status on Alert;API;escalate;alert status;1
p43;s231;FortiSOAR;Alert - Escalate To Incident (No Trigger);Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.;sets Playbook Result;Configuration;Platform sets Playbook Result;Platform;set;playbook result;1
p43;s232;FortiSOAR;Alert - Escalate To Incident (No Trigger);Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.;gets Unique Related Records;Configuration;Platform gets Unique Related Records;Platform;get;records;1
p43;s233;FortiSOAR;Alert - Escalate To Incident (No Trigger);Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.;consolidates Related Records;Configuration;Platform consolidates Related Records;Platform;consolidate;related records;1
p43;s234;FortiSOAR;Alert - Escalate To Incident (No Trigger);Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.;inserts One Incident_Many_to_One;Manual task;Platform inserts One Incident_Many_to_One;Human;insert;incident;0
p44;s235;FortiSOAR;Alert - Escalate To Incident;Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.;sets Incident Lead Teams;Configuration;Platform sets Incident Lead Teams;Platform;set;incident lead teams;1
p44;s236;FortiSOAR;Alert - Escalate To Incident;Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.;gets Incident Lead Teams;Connector;cyops_utilities gets Incident Lead Teams;cyops_utilities;get;incident lead teams;1
p44;s237;FortiSOAR;Alert - Escalate To Incident;Creates a new incident with the given inputs and links the alert(s) to the newly created Incident.;references escalate playbook;Playbook execution;Platform references escalate playbook;Platform;escalate;escalate playbook;1
p45;s241;FortiSOAR;Alert - Periodic Update Alert SLA Status;This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.;checks For Ack Violation;Condition;Platform checks For Ack Violation;Platform;check;Ack violation;1
p45;s243;FortiSOAR;Alert - Periodic Update Alert SLA Status;This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.;sets Ack SLA Missed;API call;Platform sets Ack SLA Missed;API;set;Ack SLA missed;1
p45;s244;FortiSOAR;Alert - Periodic Update Alert SLA Status;This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.;checks Response Violation;Condition;Platform checks Response Violation;Platform;check;response violation;1
p45;s245;FortiSOAR;Alert - Periodic Update Alert SLA Status;This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.;sets Response SLA Missed;API call;Platform sets Response SLA Missed;API;set;response SLA missed;1
p45;s246;FortiSOAR;Alert - Periodic Update Alert SLA Status;This is a subroutine playbook to periodically check violations of acknowledgement and response SLA of the open alerts.;nos Action Needed;Connector;cyops_utilities nos Action Needed;cyops_utilities;set;no action needed;1
p46;s248;FortiSOAR;Alert - Set Assigned Date (upon creation);Update Assigned Date when Person is assigned to Alert;sets Assigned Date;API call;Platform sets Assigned Date;API;set;date;1
p48;s252;FortiSOAR;Alert - Set Resolved Date;"Update Resolved Date when State is marked ""Closed""";updates Resolved Date;API call;Platform updates Resolved Date;API;update;date;1
p48;s253;FortiSOAR;Alert - Set Resolved Date;"Update Resolved Date when State is marked ""Closed""";nos Operations;Script;Platform nos Operations;Script;check;operations;1
p48;s254;FortiSOAR;Alert - Set Resolved Date;"Update Resolved Date when State is marked ""Closed""";checks Status is Closed;Condition;Platform checks Status is Closed;Platform;check;status;1
p49;s255;FortiSOAR;Alert - Update SLA Details;Updates an alert's acknowledgement due date and response due date based on the severity of the alert.;verifys SLA Details;Condition;Platform verifys SLA Details;Platform;verify;SLA details;1
p49;s257;FortiSOAR;Alert - Update SLA Details;Updates an alert's acknowledgement due date and response due date based on the severity of the alert.;gets SLA;Playbook execution;Platform gets SLA;Platform;get;SLA;1
p49;s258;FortiSOAR;Alert - Update SLA Details;Updates an alert's acknowledgement due date and response due date based on the severity of the alert.;updates SLA;API call;Platform updates SLA;API;update;SLA status;1
p49;s259;FortiSOAR;Alert - Update SLA Details;Updates an alert's acknowledgement due date and response due date based on the severity of the alert.;calculates Ack SLA;Connector;slacalculator calculates Ack SLA;slacalculator;calculate;Ack SLA;1
p49;s260;FortiSOAR;Alert - Update SLA Details;Updates an alert's acknowledgement due date and response due date based on the severity of the alert.;calculates Resp SLA;Connector;slacalculator calculates Resp SLA;slacalculator;calculate;response SLA;1
p49;s261;FortiSOAR;Alert - Update SLA Details;Updates an alert's acknowledgement due date and response due date based on the severity of the alert.;nos SLA Details Fetched;Connector;cyops_utilities nos SLA Details Fetched;cyops_utilities;fetch;SLA details;1
p50;s263;FortiSOAR;Alert - [01] Capture All SLA (Upon Create);Updates the alert's acknowledgement due date and response due date based on the alert’s severity.;updates SLA;Playbook execution;Platform updates SLA;Platform;update;SLA status;1
p51;s265;FortiSOAR;Alert - [02] Capture Ack SLA (Upon Update);Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.;statuss Check for Ack SLA;Condition;Platform statuss Check for Ack SLA;Platform;check;Ack SLA status;1
p51;s266;FortiSOAR;Alert - [02] Capture Ack SLA (Upon Update);Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.;checks Acknowledge SLA Status;Condition;Platform checks Acknowledge SLA Status;Platform;check;Ack SLA status;1
p51;s267;FortiSOAR;Alert - [02] Capture Ack SLA (Upon Update);Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.;sets Acknowledge SLA as Missed;API call;Platform sets Acknowledge SLA as Missed;API;set;Ack SLA status;1
p51;s268;FortiSOAR;Alert - [02] Capture Ack SLA (Upon Update);Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.;sets Acknowledge SLA as Met;API call;Platform sets Acknowledge SLA as Met;API;set;Ack SLA status;1
p51;s269;FortiSOAR;Alert - [02] Capture Ack SLA (Upon Update);Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.;gets SLA Details;Playbook execution;Platform gets SLA Details;Platform;get;SLA details;1
p51;s270;FortiSOAR;Alert - [02] Capture Ack SLA (Upon Update);Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.;checks Current Status To Pause SLA;Condition;Platform checks Current Status To Pause SLA;Platform;check;status;1
p51;s271;FortiSOAR;Alert - [02] Capture Ack SLA (Upon Update);Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.;pauses Ack SLA;API call;Platform pauses Ack SLA;API;pause;Ack SLA;1
p51;s272;FortiSOAR;Alert - [02] Capture Ack SLA (Upon Update);Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.;recalculates Ack SLA;Connector;slacalculator recalculates Ack SLA;slacalculator;recalculate;Ack SLA;1
p51;s273;FortiSOAR;Alert - [02] Capture Ack SLA (Upon Update);Updates the alert's acknowledgement date and SLA Status based on when the alert status is changed.;resumes Ack SLA;API call;Platform resumes Ack SLA;API;resume;Ack SLA;1
p52;s276;FortiSOAR;Alert - [03] Capture Response SLA (Upon Update);Updates the alert's response date and SLA Status based on when the alert status is changed.;pauses Response SLA;API call;Platform pauses Response SLA;API;pause;resonse SLA;1
p52;s278;FortiSOAR;Alert - [03] Capture Response SLA (Upon Update);Updates the alert's response date and SLA Status based on when the alert status is changed.;statuss Check for Response SLA;Condition;Platform statuss Check for Response SLA;Platform;check;response SLA;1
p52;s279;FortiSOAR;Alert - [03] Capture Response SLA (Upon Update);Updates the alert's response date and SLA Status based on when the alert status is changed.;checks Response SLA Status;Condition;Platform checks Response SLA Status;Platform;check;response SLA status;1
p52;s280;FortiSOAR;Alert - [03] Capture Response SLA (Upon Update);Updates the alert's response date and SLA Status based on when the alert status is changed.;sets Response SLA as Met;API call;Platform sets Response SLA as Met;API;set;response SLA status;1
p52;s281;FortiSOAR;Alert - [03] Capture Response SLA (Upon Update);Updates the alert's response date and SLA Status based on when the alert status is changed.;sets Response SLA as Missed;API call;Platform sets Response SLA as Missed;API;set;response SLA status;1
p52;s282;FortiSOAR;Alert - [03] Capture Response SLA (Upon Update);Updates the alert's response date and SLA Status based on when the alert status is changed.;recalculates Response SLA;Connector;slacalculator recalculates Response SLA;slacalculator;recalculate;response SLA;1
p52;s283;FortiSOAR;Alert - [03] Capture Response SLA (Upon Update);Updates the alert's response date and SLA Status based on when the alert status is changed.;resumes Response SLA;API call;Platform resumes Response SLA;API;resume;response SLA;1
p53;s284;FortiSOAR;Alert - [04] Check for SLA violations;Checks periodically for violations of acknowledgement SLA of the open alerts.;fetchs Open Alert;Query/filter task;Platform fetchs Open Alert;Platform;fetch;open alert;1
p53;s285;FortiSOAR;Alert - [04] Check for SLA violations;Checks periodically for violations of acknowledgement SLA of the open alerts.;updates SLA Status;Playbook execution;Platform updates SLA Status;Platform;update;SLA status;1
p54;s288;FortiSOAR;Alert - [05] Update Ack and Response Due dates (Post Severity Change);Updates the alert’s acknowledge due date and response due date for change in the severity of alerts;gets Current SLA;Playbook execution;Platform gets Current SLA;Platform;get;current SLA ;1
p54;s290;FortiSOAR;Alert - [05] Update Ack and Response Due dates (Post Severity Change);Updates the alert’s acknowledge due date and response due date for change in the severity of alerts;updates Reset Ack SLA;API call;Platform updates Reset Ack SLA;API;reset;Ack SLA;1
p54;s291;FortiSOAR;Alert - [05] Update Ack and Response Due dates (Post Severity Change);Updates the alert’s acknowledge due date and response due date for change in the severity of alerts;resets Ack SLA;Connector;slacalculator resets Ack SLA;slacalculator;reset;Ack SLA;1
p54;s292;FortiSOAR;Alert - [05] Update Ack and Response Due dates (Post Severity Change);Updates the alert’s acknowledge due date and response due date for change in the severity of alerts;resets Resp SLA;Connector;slacalculator resets Resp SLA;slacalculator;reset;response SLA ;1
p54;s293;FortiSOAR;Alert - [05] Update Ack and Response Due dates (Post Severity Change);Updates the alert’s acknowledge due date and response due date for change in the severity of alerts;sets Ack SLA;Connector;slacalculator sets Ack SLA;slacalculator;set;Ack SLA;1
p54;s294;FortiSOAR;Alert - [05] Update Ack and Response Due dates (Post Severity Change);Updates the alert’s acknowledge due date and response due date for change in the severity of alerts;sets Resp SLA;Connector;slacalculator sets Resp SLA;slacalculator;set;response SLA;1
p54;s295;FortiSOAR;Alert - [05] Update Ack and Response Due dates (Post Severity Change);Updates the alert’s acknowledge due date and response due date for change in the severity of alerts;checks SLA Reset Flag;Condition;Platform checks SLA Reset Flag;Platform;check;SLA reset flag;1
